Position [m]	Sabre [mm/m]	Band width [mm]
11.51	0.35	12.01
11.54	0.35	12.01
11.56	0.35	12.02
11.59	0.36	12.02
11.61	0.37	12.02
11.64	0.37	12.01
11.66	0.36	12.01
11.68	0.36	12.02
11.71	0.37	12.02
11.73	0.36	12.02
11.76	0.35	12.02
11.78	0.36	12.02
11.81	0.37	12.02
11.83	0.37	12.02
11.85	0.37	12.02
11.88	0.36	12.02
11.90	0.36	12.02
11.93	0.36	12.01
11.95	0.37	12.02
11.98	0.37	12.02
12.00	0.37	12.01
12.02	0.37	12.02
12.05	0.37	12.02
12.07	0.37	12.02
12.10	0.37	12.01
12.12	0.37	12.02
12.15	0.37	12.02
12.17	0.37	12.01
12.19	0.37	12.01
12.22	0.37	12.02
12.24	0.37	12.01
12.27	0.37	12.01
12.29	0.36	12.02
12.32	0.36	12.02
12.34	0.38	12.01
12.36	0.37	12.01
12.39	0.38	12.01
12.41	0.37	12.01
12.44	0.37	12.02
12.46	0.37	12.01
12.49	0.37	12.02
12.51	0.37	12.01
12.53	0.37	12.01
12.56	0.38	12.02
12.58	0.37	12.01
12.61	0.38	12.01
12.63	0.37	12.02
12.66	0.37	12.01
12.68	0.37	12.02
12.70	0.37	12.02
12.73	0.38	12.02
12.75	0.37	12.02
12.78	0.37	12.02
12.80	0.37	12.01
12.83	0.37	12.01
12.85	0.38	12.01
12.87	0.38	12.01
12.90	0.38	12.02
12.92	0.38	12.01
12.95	0.37	12.02
12.97	0.37	12.02
13.00	0.38	12.02
13.02	0.38	12.02
13.04	0.37	12.02
13.07	0.37	12.02
13.09	0.37	12.02
13.12	0.38	12.01
13.14	0.39	12.01
13.17	0.37	12.01
13.19	0.37	12.01
13.21	0.37	12.02
13.24	0.37	12.01
13.26	0.38	12.01
13.29	0.37	12.02
13.31	0.37	12.02
13.34	0.37	12.01
13.36	0.38	12.02
13.38	0.38	12.01
13.41	0.38	12.02
13.43	0.37	12.02
13.46	0.37	12.01
13.48	0.37	12.02
13.51	0.37	12.02
13.53	0.37	12.02
13.55	0.35	12.02
13.58	0.36	12.01
13.60	0.37	12.01
13.63	0.36	12.01
13.65	0.35	12.02
13.68	0.35	12.02
13.70	0.36	12.01
13.72	0.37	12.01
13.75	0.36	12.02
13.77	0.35	12.01
13.80	0.35	12.01
13.82	0.34	12.01
13.85	0.36	12.02
13.87	0.36	12.02
13.89	0.35	12.02
13.92	0.34	12.01
13.94	0.34	12.01
13.97	0.35	12.01
13.99	0.34	12.01
14.02	0.34	12.01
14.04	0.34	12.01
14.06	0.35	12.01
14.09	0.34	12.01
14.11	0.35	12.01
