"Date Time" Tape_Tension_[N] Thickness_[x] Encoder_Pos_[m] 
"03.02.2021 09:23:59,957" -5,681788 7,936130 -0,959614 
"03.02.2021 09:24:00,081" -5,646489 7,935985 -0,935852 
"03.02.2021 09:24:00,207" -5,663335 7,935972 -0,911651 
"03.02.2021 09:24:00,332" -5,646721 7,935970 -0,887724 
"03.02.2021 09:24:00,456" -5,672993 7,936017 -0,863900 
"03.02.2021 09:24:00,581" -5,680042 7,936035 -0,839857 
"03.02.2021 09:24:00,707" -5,676318 7,936041 -0,815617 
"03.02.2021 09:24:00,831" -5,677924 7,936056 -0,791785 
"03.02.2021 09:24:00,957" -5,672213 7,936060 -0,767497 
"03.02.2021 09:24:01,082" -5,650770 7,936087 -0,743391 
"03.02.2021 09:24:01,207" -5,640851 7,936177 -0,719254 
"03.02.2021 09:24:01,332" -5,631760 7,936136 -0,695149 
"03.02.2021 09:24:01,457" -5,620643 7,936177 -0,670993 
"03.02.2021 09:24:01,582" -5,659769 7,936158 -0,646811 
"03.02.2021 09:24:01,706" -5,664384 7,936173 -0,622874 
"03.02.2021 09:24:01,832" -5,624869 7,936067 -0,598511 
"03.02.2021 09:24:01,957" -5,623337 7,936002 -0,574348 
"03.02.2021 09:24:02,081" -5,649182 7,935982 -0,550369 
"03.02.2021 09:24:02,207" -5,611329 7,936073 -0,525923 
"03.02.2021 09:24:02,332" -5,611032 7,936110 -0,501696 
"03.02.2021 09:24:02,456" -5,638985 7,936069 -0,477699 
"03.02.2021 09:24:02,582" -5,642291 7,936058 -0,453226 
"03.02.2021 09:24:02,707" -5,620031 7,936084 -0,429008 
"03.02.2021 09:24:02,832" -5,647659 7,936074 -0,404758 
"03.02.2021 09:24:02,957" -5,638474 7,936063 -0,380580 
"03.02.2021 09:24:03,081" -5,636867 7,936052 -0,356505 
"03.02.2021 09:24:03,207" -5,638372 7,936080 -0,332088 
"03.02.2021 09:24:03,331" -5,602748 7,936024 -0,307972 
"03.02.2021 09:24:03,457" -5,626531 7,936151 -0,283462 
"03.02.2021 09:24:03,581" -5,631453 7,936097 -0,259391 
"03.02.2021 09:24:03,707" -5,620328 7,936022 -0,235003 
"03.02.2021 09:24:03,831" -5,621089 7,936186 -0,210985 
"03.02.2021 09:24:03,956" -5,629317 7,936032 -0,186705 
"03.02.2021 09:24:04,082" -5,625045 7,936108 -0,162166 
"03.02.2021 09:24:04,206" -5,628333 7,936188 -0,138041 
"03.02.2021 09:24:04,332" -5,601141 7,936205 -0,113542 
"03.02.2021 09:24:04,457" -5,631973 7,936100 -0,089260 
"03.02.2021 09:24:04,582" -5,637285 7,936089 -0,064986 
"03.02.2021 09:24:04,707" -5,631481 7,936067 -0,040732 
"03.02.2021 09:24:04,831" -5,625863 7,936099 -0,016603 
"03.02.2021 09:24:04,956" -5,650250 7,936130 0,007751 
"03.02.2021 09:24:05,081" -5,643628 7,936110 0,032069 
"03.02.2021 09:24:05,206" -5,645755 7,936275 0,056339 
"03.02.2021 09:24:05,332" -5,637220 7,936056 0,080844 
"03.02.2021 09:24:05,457" -5,666186 7,936067 0,105175 
"03.02.2021 09:24:05,582" -5,628658 7,936095 0,129466 
"03.02.2021 09:24:05,706" -5,635084 7,936097 0,153547 
"03.02.2021 09:24:05,831" -5,648457 7,936154 0,177842 
"03.02.2021 09:24:05,957" -5,650287 7,936294 0,202363 
"03.02.2021 09:24:06,081" -5,643099 7,936299 0,226494 
"03.02.2021 09:24:06,207" -5,633794 7,936173 0,250995 
"03.02.2021 09:24:06,332" -5,642532 7,936082 0,275309 
"03.02.2021 09:24:06,457" -5,638576 7,936173 0,299631 
"03.02.2021 09:24:06,582" -5,664914 7,936167 0,323909 
"03.02.2021 09:24:06,707" -5,632828 7,936195 0,348072 
"03.02.2021 09:24:06,831" -5,657809 7,936255 0,372083 
"03.02.2021 09:24:06,956" -5,651847 7,936127 0,396263 
"03.02.2021 09:24:07,081" -5,643860 7,936080 0,420498 
"03.02.2021 09:24:07,207" -5,636143 7,936067 0,444861 
"03.02.2021 09:24:07,331" -5,641919 7,936032 0,468868 
"03.02.2021 09:24:07,457" -5,666297 7,936104 0,493285 
"03.02.2021 09:24:07,581" -5,659258 7,936039 0,517369 
"03.02.2021 09:24:07,707" -5,628602 7,936149 0,541806 
"03.02.2021 09:24:07,832" -5,628556 7,936127 0,566035 
"03.02.2021 09:24:07,957" -5,638325 7,936100 0,590283 
"03.02.2021 09:24:08,081" -5,617486 7,936117 0,614330 
"03.02.2021 09:24:08,206" -5,616427 7,936127 0,638695 
"03.02.2021 09:24:08,332" -5,640090 7,936091 0,663199 
"03.02.2021 09:24:08,456" -5,643795 7,936054 0,687251 
"03.02.2021 09:24:08,581" -5,620448 7,936117 0,711495 
"03.02.2021 09:24:08,707" -5,626048 7,936004 0,735996 
"03.02.2021 09:24:08,831" -5,617597 7,936037 0,760076 
"03.02.2021 09:24:08,957" -5,622640 7,936004 0,784556 
"03.02.2021 09:24:09,082" -5,601438 7,936011 0,808915 
"03.02.2021 09:24:09,207" -5,646795 7,935995 0,833228 
"03.02.2021 09:24:09,331" -5,621201 7,935930 0,857300 
"03.02.2021 09:24:09,457" -5,638493 7,935996 0,881843 
"03.02.2021 09:24:09,581" -5,645708 7,936022 0,905964 
"03.02.2021 09:24:09,706" -5,638409 7,935917 0,930186 
"03.02.2021 09:24:09,831" -5,646526 7,935983 0,954410 
"03.02.2021 09:24:09,957" -5,619464 7,935941 0,978865 
"03.02.2021 09:24:10,081" -5,603946 7,936104 1,002996 
"03.02.2021 09:24:10,207" -5,624878 7,936048 1,027482 
"03.02.2021 09:24:10,332" -5,644362 7,935970 1,051786 
"03.02.2021 09:24:10,456" -5,653528 7,936034 1,075938 
"03.02.2021 09:24:10,581" -5,636468 7,935998 1,100258 
"03.02.2021 09:24:10,708" -5,638743 7,936091 1,124691 
"03.02.2021 09:24:10,832" -5,639282 7,936047 1,148756 
"03.02.2021 09:24:10,958" -5,626773 7,936022 1,173202 
"03.02.2021 09:24:11,082" -5,618944 7,936024 1,197267 
"03.02.2021 09:24:11,207" -5,622324 7,936167 1,221481 
"03.02.2021 09:24:11,333" -5,657614 7,936251 1,246037 
"03.02.2021 09:24:11,457" -5,624377 7,936227 1,270134 
"03.02.2021 09:24:11,582" -5,624154 7,936260 1,294333 
"03.02.2021 09:24:11,707" -5,633348 7,936219 1,318551 
"03.02.2021 09:24:11,833" -5,646294 7,936247 1,343006 
"03.02.2021 09:24:11,958" -5,618210 7,936333 1,367275 
"03.02.2021 09:24:12,083" -5,630655 7,936175 1,391542 
"03.02.2021 09:24:12,208" -5,640703 7,936262 1,415839 
"03.02.2021 09:24:12,333" -5,647334 7,936325 1,440042 
"03.02.2021 09:24:12,458" -5,637685 7,936188 1,464365 
"03.02.2021 09:24:12,583" -5,651596 7,936164 1,488649 
"03.02.2021 09:24:12,708" -5,628881 7,936156 1,512982 
"03.02.2021 09:24:12,833" -5,646944 7,936121 1,537264 
"03.02.2021 09:24:12,958" -5,652915 7,936006 1,561616 
"03.02.2021 09:24:13,082" -5,651661 7,935933 1,585738 
"03.02.2021 09:24:13,208" -5,644213 7,935957 1,610167 
"03.02.2021 09:24:13,333" -5,657893 7,936086 1,634471 
"03.02.2021 09:24:13,458" -5,654689 7,936156 1,658729 
"03.02.2021 09:24:13,582" -5,635799 7,936021 1,682819 
"03.02.2021 09:24:13,708" -5,655980 7,936008 1,707348 
"03.02.2021 09:24:13,832" -5,620142 7,936093 1,731439 
"03.02.2021 09:24:13,958" -5,635614 7,936117 1,755876 
"03.02.2021 09:24:14,082" -5,642003 7,936028 1,779967 
"03.02.2021 09:24:14,208" -5,644993 7,935943 1,804476 
"03.02.2021 09:24:14,333" -5,664904 7,935939 1,828844 
"03.02.2021 09:24:14,458" -5,643285 7,935998 1,853062 
"03.02.2021 09:24:14,582" -5,652813 7,935816 1,877174 
"03.02.2021 09:24:14,708" -5,681388 7,935961 1,901658 
"03.02.2021 09:24:14,832" -5,660149 7,935918 1,925789 
"03.02.2021 09:24:14,958" -5,638530 7,935924 1,950339 
"03.02.2021 09:24:15,082" -5,663799 7,936021 1,974534 
"03.02.2021 09:24:15,206" -5,654447 7,935824 1,998690 
"03.02.2021 09:24:15,332" -5,644733 7,935931 2,023223 
"03.02.2021 09:24:15,456" -5,646377 7,935963 2,047297 
"03.02.2021 09:24:15,581" -5,620226 7,935950 2,071527 
"03.02.2021 09:24:15,706" -5,632252 7,936037 2,095835 
"03.02.2021 09:24:15,832" -5,628732 7,935961 2,120292 
"03.02.2021 09:24:15,956" -5,619724 7,935985 2,144365 
"03.02.2021 09:24:16,082" -5,623643 7,936009 2,168813 
"03.02.2021 09:24:16,206" -5,653091 7,936058 2,193001 
"03.02.2021 09:24:16,332" -5,633311 7,935963 2,217503 
"03.02.2021 09:24:16,456" -5,632716 7,935943 2,241519 
"03.02.2021 09:24:16,582" -5,620913 7,935963 2,265979 
"03.02.2021 09:24:16,707" -5,625826 7,936004 2,290240 
"03.02.2021 09:24:16,832" -5,615536 7,936175 2,314535 
"03.02.2021 09:24:16,957" -5,630330 7,936063 2,338794 
"03.02.2021 09:24:17,082" -5,618749 7,935985 2,363103 
"03.02.2021 09:24:17,206" -5,616864 7,935980 2,387106 
"03.02.2021 09:24:17,331" -5,625380 7,935853 2,411333 
"03.02.2021 09:24:17,457" -5,616947 7,935846 2,435804 
"03.02.2021 09:24:17,581" -5,621154 7,935761 2,459920 
"03.02.2021 09:24:17,707" -5,621424 7,935844 2,484415 
"03.02.2021 09:24:17,831" -5,632020 7,935913 2,508537 
"03.02.2021 09:24:17,956" -5,616697 7,935946 2,532783 
"03.02.2021 09:24:18,082" -5,651624 7,935870 2,557225 
"03.02.2021 09:24:18,206" -5,638957 7,935972 2,581381 
"03.02.2021 09:24:18,331" -5,650064 7,935920 2,605683 
"03.02.2021 09:24:18,457" -5,639189 7,935865 2,630250 
"03.02.2021 09:24:18,582" -5,642625 7,935963 2,654615 
"03.02.2021 09:24:18,706" -5,615025 7,935963 2,678641 
"03.02.2021 09:24:18,831" -5,628983 7,935961 2,702926 
"03.02.2021 09:24:18,957" -5,666994 7,936011 2,727433 
"03.02.2021 09:24:19,082" -5,650816 7,935959 2,751741 
"03.02.2021 09:24:19,207" -5,664041 7,935969 2,776046 
