Position [m]	Intensity	Int_Area	Int_Edge1	Int_Edge2	Position Sensor [m]	Temperature Sensor 1 [°C]	Temperature Sensor 2 [°C]
-30.39					56.77	43.33	42.28
-30.39					57.11	43.32	42.27
-30.32					57.46	43.31	42.27
-30.32					57.81	43.38	42.33
-30.25					58.16	43.38	42.32
-30.25					58.50	43.37	42.32
-30.18					58.85	43.36	42.32
-30.18					59.20	43.36	42.31
-30.11					59.54	43.35	42.31
-30.11					59.89	43.35	42.30
-30.05					60.24	43.34	42.29
-30.05					60.59	43.33	42.29
-29.98					60.93	43.33	42.28
-29.98					61.28	43.32	42.28
-29.91					61.63	43.32	42.27
-29.91					61.97	43.31	42.26
-29.84					62.32	43.31	42.26
-29.84					62.67	43.30	42.25
-29.77					63.01	43.30	42.25
-29.77					63.36	43.29	42.24
-29.70					63.71	43.28	42.23
-29.70					64.05	43.28	42.23
-29.63					64.40	43.28	42.23
-29.63					64.75	43.33	42.28
-29.57					65.10	43.33	42.28
-29.57					65.44	43.32	42.27
-29.50					65.79	43.32	42.27
-29.50					66.14	43.31	42.26
-29.43					66.48	43.30	42.26
-29.43					66.83	43.30	42.25
-29.36					67.18	43.29	42.25
-29.36					67.52	43.29	42.24
-29.29					67.87	43.28	42.24
-29.29					68.22	43.27	42.23
-29.22					68.57	43.27	42.22
-29.22					68.91	43.27	42.22
-29.15					69.26	43.26	42.21
-29.15					69.61	43.26	42.21
-29.09					69.95	43.25	42.20
-29.09					70.30	43.25	42.20
-29.02					70.65	43.24	42.19
-29.02					70.99	43.23	42.19
-28.95					71.34	43.23	42.18
-28.95					71.69	43.28	42.24
-28.88					72.03	43.28	42.23
-28.88					72.38	43.28	42.23
-28.81					72.73	43.27	42.22
-28.81					73.08	43.27	42.22
-28.74					73.42	43.26	42.22
-28.74					73.77	43.26	42.21
-28.67					74.12	43.25	42.20
-28.67					74.46	43.25	42.20
-28.60					74.81	43.24	42.19
-28.60					75.16	43.23	42.19
-28.54					75.50	43.23	42.19
-28.54					75.85	43.22	42.18
-28.47					76.20	43.22	42.18
-28.47					76.55	43.21	42.17
-28.40					76.89	43.21	42.17
-28.40					77.24	43.21	42.16
-28.33					77.59	43.20	42.15
-28.33					77.93	43.26	42.21
-28.26					78.28	43.25	42.21
-28.26					78.63	43.25	42.20
-28.19					78.97	43.24	42.20
-28.19					79.32	43.24	42.19
-28.12					79.67	43.24	42.19
-28.12					80.02	43.23	42.19
-28.06					80.36	43.23	42.18
-28.06					80.71	43.22	42.18
-27.99					81.06	43.22	42.17
-27.99					81.40	43.21	42.17
-27.92					81.75	43.21	42.16
-27.92					82.10	43.21	42.16
-27.85					82.44	43.20	42.15
-27.85					82.79	43.20	42.15
-27.78					83.14	43.20	42.15
-27.78					83.48	43.19	42.14
-27.71					83.83	43.19	42.14
-27.71					84.18	43.18	42.13
-27.64					84.53	43.25	42.20
-27.64					84.87	43.24	42.20
-27.58					85.22	43.23	42.20
-27.58					85.57	43.24	42.19
-27.51					85.91	43.24	42.19
-27.51					86.26	43.23	42.18
-27.44					86.61	43.22	42.17
-27.44					86.95	43.22	42.17
-27.37					87.30	43.21	42.17
-27.37					87.65	43.21	42.16
-27.30					87.99	43.21	42.16
-27.30					88.34	43.20	42.15
-27.23					88.69	43.20	42.15
-27.23					89.04	43.20	42.14
-27.16					89.38	43.19	42.14
-27.16					89.73	43.19	42.14
-27.10					90.08	43.18	42.13
-27.10					90.42	43.18	42.13
-27.03					90.77	43.18	42.19
-27.03					91.12	43.23	42.18
-26.96					91.47	43.22	42.18
